Longitude,Latitude,Specialty,Army,Air Force,Navy,Website,Color,Air Force spots available (2022),Navy spots available (2022)
29.4598,-98.4167,BAMC Anesthesiology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Anesthesiology,green,6,NaN
29.4598,-98.4167,BAMC Dermatology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Dermatology,green,0,NaN
29.4598,-98.4167,BAMC Diagnostic Radiology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Diagnostic-Radiology,green,4,NaN
29.4598,-98.4167,BAMC Emergency Medicine,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Emergency-Medicine,green,8,NaN
29.4598,-98.4167,BAMC General Surgery,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/General-Surgery,green,4,NaN
29.4598,-98.4167,BAMC Internal Medicine,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Internal-Medicine,green,25,NaN
29.4598,-98.4167,BAMC Neurology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Neurology,green,4,NaN
29.4598,-98.4167,BAMC OBGYN,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/OB-GYN,green,3,NaN
29.4598,-98.4167,BAMC Ophthalmology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Ophthalmology,green,2,NaN
29.4598,-98.4167,BAMC Orthopaedic Surgery,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Orthopaedic-Surgery,green,3,NaN
29.4598,-98.4167,BAMC Otolaryngology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Otolaryngology,green,2,NaN
29.4598,-98.4167,BAMC Pathology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Pathology,green,2,NaN
29.4598,-98.4167,BAMC Pediatrics,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Pediatrics,green,7,NaN
29.4598,-98.4167,BAMC Psychiatry,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Psychiatry,green,10,NaN
29.4598,-98.4167,BAMC Transitional Year,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Transitional-Year,green,15,NaN
29.4598,-98.4167,BAMC Urology,1,1,0,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Urology,green,1,NaN
31.0751,-97.4624,CRDAMC Emergency Medicine,1,0,0,https://darnall.tricare.mil/Health-Services/Urgent-Emergency-Care/Emergency-Medicine,green,NaN,NaN
31.0751,-97.4624,CRDAMC Family Medicine,1,0,0,https://darnall.tricare.mil/Clinics/Family-Medicine-Residency-Clinic-FMRC,green,NaN,NaN
33.7629,-116.4041,EAMC Family Medicine,1,0,0,https://eisenhower.tricare.mil/Education/Internship-and-Residency-Programs/Family-Medicine-Residency,green,NaN,NaN
33.7629,-116.4041,EAMC General Surgery,1,0,0,https://eisenhower.tricare.mil/Education/Internship-and-Residency-Programs/General-Surgery,green,NaN,NaN
33.7629,-116.4041,EAMC Internal Medicine,1,0,0,https://eisenhower.tricare.mil/Education/Internship-and-Residency-Programs/Internal-Medicine,green,NaN,NaN
33.7629,-116.4041,EAMC Orthopaedic Surgery,1,0,0,https://eisenhower.tricare.mil/Education/Internship-and-Residency-Programs/Orthopaedic-Surgery,green,NaN,NaN
33.7629,-116.4041,EAMC Transitional Year,1,0,0,https://eisenhower.tricare.mil/Education/Internship-and-Residency-Programs/Transitional-Year,green,NaN,NaN
38.7057,-77.1431,Fort Belvoir Family Medicine,1,1,1,https://belvoirhospital.tricare.mil/About-Us/Education-Research/Research-Programs/Family-Medicine-Residency,green,4,5
47.1098,-122.5521,MAMC Diagnostic Radiology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Diagnostic-Radiology,green,NaN,NaN
47.1098,-122.5521,MAMC Emergency Medicine,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Emergency-Medicine,green,NaN,NaN
47.1098,-122.5521,MAMC Family Medicine,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Family-Medicine-Residency,green,NaN,NaN
47.1098,-122.5521,MAMC General Surgery,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/General-Surgery,green,NaN,NaN
47.1098,-122.5521,MAMC Internal Medicine,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Internal-Medicine,green,NaN,NaN
47.1098,-122.5521,MAMC Neurology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Neurology,green,NaN,NaN
47.1098,-122.5521,MAMC OBGYN,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/OBGYN,green,NaN,NaN
47.1098,-122.5521,MAMC Ophthalmology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Ophthalmology,green,NaN,NaN
47.1098,-122.5521,MAMC Orthopaedic Surgery,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Orthopedic-Surgery,green,NaN,NaN
47.1098,-122.5521,MAMC Otolaryngology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Otolaryngology,green,NaN,NaN
47.1098,-122.5521,MAMC Pathology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Pathology,green,NaN,NaN
47.1098,-122.5521,MAMC Pediatrics,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Pediatrics,green,NaN,NaN
47.1098,-122.5521,MAMC Preventative Health / Public Health,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Preventive-Medicine-and-Public-Health,green,NaN,NaN
47.1098,-122.5521,MAMC Transitional Year,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Transitional-Year-Program,green,NaN,NaN
47.1098,-122.5521,MAMC Urology,1,0,0,https://madigan.tricare.mil/About-Us/Graduate-Medical-Education/Urology,green,NaN,NaN
32.3531,-84.9552,Martin Army Community Hospital Family Medicine,1,0,0,https://martin.tricare.mil/Health-Services/Primary-Care/Family-Medicine-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC Diagnostic Radiology,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Diagnostic-Radiology-Residency-and-Education,green,NaN,NaN
21.3596,-157.8904,TAMC Family Medicine,1,0,0,https://tripler.tricare.mil/Health-Services/Primary-Care/Family-Medicine/Residency-Program,green,NaN,NaN
21.3596,-157.8904,TAMC General Surgery,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/General-Surgery-Program,green,NaN,NaN
21.3596,-157.8904,TAMC Internal Medicine,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Internal-Medicine-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC OBGYN,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Obstetrics-and-Gynecology-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC Orthopaedic Surgery,1,0,0,https://tripler.tricare.mil/Health-Services/Specialty-Care/Orthopedics-Podiatry-Clinic/Orthopaedic-Surgery-Program,green,NaN,NaN
21.3596,-157.8904,TAMC Otolaryngology,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Otolaryngology-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC Pediatrics,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Pediatric-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC Psychiatry,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Psychiatry-Residency,green,NaN,NaN
21.3596,-157.8904,TAMC Transitional Year,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Transitional-Year-Program,green,NaN,NaN
21.3596,-157.8904,TAMC Urology,1,0,0,https://tripler.tricare.mil/About-Us/Training-and-Education/Graduate-Medical-Education/Urology-Residency,green,NaN,NaN
35.1462,-79.0021,WAMC Family Medicine,1,0,0,https://womack.tricare.mil/About-Us/Department-of-Medical-Education/Graduate-Medical-Education/Family-Medicine-Residency-Program,green,NaN,NaN
35.1462,-79.0021,WAMC OBGYN,1,0,0,https://womack.tricare.mil/About-Us/Department-of-Medical-Education/Graduate-Medical-Education/Obstetrics-and-Gynecology-Residency-Program,green,NaN,NaN
35.1462,-79.0021,WAMC General Surgery,1,0,0,https://womack.tricare.mil/About-Us/Department-of-Medical-Education/Graduate-Medical-Education/General-Surgery-Residency,green,NaN,NaN
35.1462,-79.0021,WAMC Internal Medicine,1,0,0,https://womack.tricare.mil/About-Us/Department-of-Medical-Education/Graduate-Medical-Education/Internal-Medicine-Residency,green,NaN,NaN
31.8218,-106.4616,WBAMC General Surgery,1,0,0,https://william-beaumont.tricare.mil/Health-Services/Hospital-Care-Surgery/Surgery,green,NaN,NaN
31.8218,-106.4616,WBAMC Internal Medicine,1,0,0,https://william-beaumont.tricare.mil/Academics/Graduate-Medical-Education-GME/Internal-Medicine-Residency-Program,green,NaN,NaN
31.8218,-106.4616,WBAMC Orthopaedic Surgery,1,0,0,https://william-beaumont.tricare.mil/Health-Services/Hospital-Care-Surgery/Surgery/Orthopedic-Surgery-Residency-Program,green,NaN,NaN
31.8218,-106.4616,WBAMC Transitional Year,1,0,0,https://william-beaumont.tricare.mil/Academics/Graduate-Medical-Education-GME/Transitional-Year-Internship,green,NaN,NaN
39.0016,-77.0935,WRNMMC Adult Neurology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Adult-Neurology-Residency,green,0,0
39.0016,-77.0935,WRNMMC Child Neurology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Child-Neurology-Residency-Program,green,0,0
39.0016,-77.0935,WRNMMC Dermatology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/National-Capital-Consortium-NCC-Dermatology-Residency-Program,green,0,0
39.0016,-77.0935,WRNMMC Diagnostic Radiology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/National-Capital-Consortium-Diagnostic-Radiology-Residency,green,1,0
39.0016,-77.0935,WRNMMC General Surgery,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-General-Surgery-Residency-Program,green,0,7
39.0016,-77.0935,WRNMMC Internal Medicine,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/General-Internal-Medicine-Fellowship/Internal-Medicine-Residency,green,1,15
39.0016,-77.0935,WRNMMC Internal Medicine/Psychiatry,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/General-Internal-Medicine-Fellowship/Combined-Internal-Medicine-Psychiatry-Residency,green,0,0
39.0016,-77.0935,WRNMMC Neurosurgery,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Neurosurgery-Residency-Program,green,0,1
39.0016,-77.0935,WRNMMC OBGYN,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Residency-in-Obstetrics-Gynecology,green,1,1
39.0016,-77.0935,WRNMMC Orthopaedic Surgery,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Orthopaedic-Clerkship-Internship-Residency,green,0,3
39.0016,-77.0935,WRNMMC Otolarnygology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Otolaryngology-Head-Neck-Surgery,green,0,1
39.0016,-77.0935,WRNMMC Pathology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Anatomic-and-Clinical-Pathology-Residency,green,0,0
39.0016,-77.0935,WRNMMC Pediatrics,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/National-Capital-Consortium-Pediatrics-Residency,green,4,1
39.0016,-77.0935,WRNMMC Physical Medicine and Rehabilitation,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Physical-Medicine-Rehabilitation-Residency,green,0,0
39.0016,-77.0935,WRNMMC Psychiatry,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/NCC-Psychiatry-Residency-Program,green,0,4
39.0016,-77.0935,WRNMMC Radiation Oncology,1,1,1,https://walterreed.tricare.mil/About-Us/Graduate-Medical-Education/Graduate-Medical-Education-Programs/Radiation-Oncology,green,0,0
